task,embedding,kernel,R,R2,kendalltau,log_loss,SE
e-value,X_peak_3_6.pkl,Matern5/2,0.442227135462,0.190859212379,0.319937063779,654.035053142,861.293577365
e-value,X_uniform_5_5.pkl,Matern5/2,-0.0900516010369,-0.0365143577074,-0.195655812544,670.483097386,1103.32240421
e-value,X_scrambled_4_5.pkl,Matern5/2,0.784649103107,0.611669199731,0.629920530018,600.133049329,413.360479761
e-value,X_original_5_3.pkl,Matern5/2,0.683597738256,0.463248846098,0.516383889949,625.004753877,571.347197635
e-value,X_small_4_1.pkl,Matern5/2,-0.113079912617,-0.0256641281343,-0.188746289216,669.761033494,1091.77282818
e-value,X_uniform_1_1.pkl,Matern5/2,0.226983809743,0.0442552297729,0.181899260535,665.032405524,1017.34685087
e-value,X_small_2_7.pkl,Matern5/2,0.670575492835,0.443718905229,0.522509180743,626.852820853,592.135931677
e-value,X_original_1_7.pkl,Matern5/2,-0.0432746143839,-0.0169416513431,-0.0138912844786,669.030949625,1082.48814824
e-value,X_uniform_3_3.pkl,Matern5/2,0.748328756662,0.556903506281,0.609794574553,613.22247829,471.65607028
e-value,X_scrambled_2_3.pkl,Matern5/2,0.705323586106,0.496148253126,0.545479021219,618.804345684,536.327274766
e-value,X_original_3_5.pkl,Matern5/2,0.798047518671,0.626626670555,0.632108133873,598.467770283,397.438932174
e-value,X_original_3_7.pkl,Matern5/2,0.79034361785,0.615155261185,0.636483341583,601.219595345,409.649725851
e-value,X_scrambled_2_1.pkl,Matern5/2,0.731710231772,0.530710313349,0.573042829791,615.173548198,499.537533171
e-value,X_uniform_3_1.pkl,Matern5/2,0.737361744043,0.5348696106,0.568011340925,616.102025166,495.110150367
e-value,X_original_1_5.pkl,Matern5/2,-0.424292639946,-0.0214346272299,-0.295873421375,669.230263174,1087.27071678
e-value,X_uniform_1_3.pkl,Matern5/2,-0.112359357442,-0.0290167207482,-0.0659562562252,670.165590708,1095.34151058
e-value,X_small_2_5.pkl,Matern5/2,0.641530093916,0.407320934554,0.523165461899,633.342415087,630.879916471
e-value,X_small_4_3.pkl,Matern5/2,-0.398604669452,-0.0176090688579,-0.284242757444,669.015437227,1083.19858384
e-value,X_original_5_1.pkl,Matern5/2,0.695050661781,0.477860621869,0.527759429994,625.689618303,555.793626713
e-value,X_scrambled_4_7.pkl,Matern5/2,0.818264153609,0.66285290549,0.65070276664,594.679283519,358.877752266
e-value,X_uniform_5_7.pkl,Matern5/2,0.197689418445,0.0384846131874,0.117854059449,665.314654821,1023.48940984
e-value,X_uniform_5_6.pkl,Matern5/2,0.208087155775,0.0432946374841,0.129110417059,664.66293904,1018.36935768
e-value,X_scrambled_4_6.pkl,Matern5/2,0.784446719319,0.611177162875,0.611107136866,602.228906999,413.88423062
e-value,X_small_4_2.pkl,Matern5/2,0.112841106543,0.0125531357821,-0.194493351866,666.800675784,1051.09228845
e-value,X_small_2_4.pkl,Matern5/2,0.659798104654,0.43399083821,0.52557182614,633.320628895,602.49101669
e-value,X_uniform_1_2.pkl,Matern5/2,-0.163838499265,-0.0356126442286,-0.107520729468,670.410340849,1102.36257121
e-value,X_original_1_4.pkl,Matern5/2,-0.41365944141,-0.032342225733,-0.303748795253,670.018942819,1098.88135942
e-value,X_peak_5_3.pkl,Matern5/2,-0.398932570708,-0.0176242355394,-0.281216475547,668.991782152,1083.21472808
e-value,X_original_3_6.pkl,Matern5/2,0.752135601226,0.556342016444,0.577418037501,614.015511607,472.253750682
e-value,X_original_3_2.pkl,Matern5/2,0.826555644896,0.669029064115,0.655296734735,589.545004293,352.303512235
e-value,X_scrambled_2_4.pkl,Matern5/2,0.641316514935,0.410428956414,0.487507519064,629.169943784,627.57156852
e-value,X_uniform_3_4.pkl,Matern5/2,0.76241731188,0.566105704761,0.596668951424,610.074314288,461.860748416
e-value,X_uniform_1_6.pkl,Matern5/2,-0.0359368632183,-0.0197353883863,-0.02789194915,669.004579317,1085.46195429
e-value,X_small_4_6.pkl,Matern5/2,0.0669549564021,0.00391516736721,-0.19287371989,667.40319924,1060.28701307
e-value,X_original_5_4.pkl,Matern5/2,0.755555538801,0.568088731551,0.594043826798,613.604415821,459.749906565
e-value,X_scrambled_4_2.pkl,Matern5/2,0.740844851485,0.542482448735,0.578949360199,613.672105201,487.006630324
e-value,X_uniform_5_2.pkl,Matern5/2,-0.0163407947096,-0.00895214687361,-0.256764108387,668.368006312,1073.98368401
e-value,X_uniform_5_3.pkl,Matern5/2,0.21380464174,0.0354258080631,-0.04320331291,665.420831396,1026.74536881
e-value,X_scrambled_4_3.pkl,Matern5/2,0.736638378778,0.529849978707,0.565604976684,617.141313731,500.453320279
e-value,X_original_5_5.pkl,Matern5/2,0.62046149042,0.38459281468,0.452068336615,635.40689652,655.072966645
e-value,X_small_4_7.pkl,Matern5/2,-0.0317452713426,-0.00678081131309,-0.244688777782,668.211031743,1071.67239603
e-value,X_small_2_1.pkl,Matern5/2,0.656912579013,0.415749202787,0.524915544983,632.116806941,621.908408164
e-value,X_uniform_1_7.pkl,Matern5/2,0.314309957417,0.0983786352816,0.20640042371,660.14494097,959.734946659
e-value,X_original_1_1.pkl,Matern5/2,0.191986221621,0.0320274003031,0.147553880013,665.567963248,1030.36281935
e-value,X_peak_5_6.pkl,Matern5/2,-0.398932570708,-0.0176242355394,-0.281216475547,668.991782152,1083.21472808
e-value,X_uniform_3_5.pkl,Matern5/2,0.789859585569,0.611027391303,0.633858216957,602.72064185,414.04365565
e-value,X_scrambled_2_5.pkl,Matern5/2,0.771030781073,0.591938456002,0.606294408385,605.826070224,434.362959317
e-value,X_original_3_3.pkl,Matern5/2,0.768208960903,0.584949661315,0.603013002603,604.15612731,441.802213486
e-value,X_original_3_1.pkl,Matern5/2,0.780775020731,0.58925116079,0.608044491469,606.281740636,437.223462881
e-value,X_scrambled_2_7.pkl,Matern5/2,0.755791091164,0.566359728415,0.602137961061,609.78685839,461.590351787
e-value,X_uniform_3_7.pkl,Matern5/2,0.761707058022,0.574964042023,0.601044159134,608.624486051,452.431451183
e-value,X_original_1_3.pkl,Matern5/2,-0.251044751145,-0.0328005074224,-0.176649011283,670.040291929,1099.36917944
e-value,X_small_2_3.pkl,Matern5/2,0.607431320481,0.365880009813,0.482694790584,635.944191199,674.991896568
e-value,X_uniform_1_5.pkl,Matern5/2,-0.029899462474,-0.0221222201439,-0.00229698404764,669.217546564,1088.00262817
e-value,X_small_4_5.pkl,Matern5/2,-0.366792734076,-0.0369156528103,-0.286029204028,670.213505844,1103.7495646
e-value,X_original_5_7.pkl,Matern5/2,0.663989476663,0.438225960162,0.510914880312,632.438622207,597.98292194
e-value,X_scrambled_4_1.pkl,Matern5/2,0.789488153949,0.609828260294,0.622045156141,603.086415405,415.320076085
e-value,X_uniform_5_1.pkl,Matern5/2,0.176763494226,0.0295946921377,-0.0794863150702,665.661298232,1032.95232658
e-value,X_original_5_6.pkl,Matern5/2,0.644196082985,0.412314125675,0.491882726774,634.332984992,625.564891559
e-value,X_small_4_4.pkl,Matern5/2,-0.0139337156522,-0.0201600146051,-0.268039460687,669.352810642,1085.91394959
e-value,X_uniform_1_4.pkl,Matern5/2,0.172823202286,0.020043676355,0.149159198641,666.960534247,1043.1189486
e-value,X_small_2_2.pkl,Matern5/2,0.540414004146,0.285119520979,0.409410061444,646.673948754,760.957764809
e-value,X_original_1_2.pkl,Matern5/2,-0.398999208552,-0.0176218543493,-0.28252903786,668.991570752,1083.21219341
e-value,X_uniform_3_6.pkl,Matern5/2,0.801067882514,0.638762934835,0.643264913533,598.271527736,384.520430675
e-value,X_scrambled_2_6.pkl,Matern5/2,0.790187246253,0.619820700643,0.628170446934,599.417895553,404.683577682
e-value,X_original_4_1.pkl,Matern5/2,0.746635928957,0.551104958446,0.582012005596,612.823721384,477.828360795
e-value,X_scrambled_5_7.pkl,Matern5/2,0.555291188656,0.30470593575,0.393440553304,643.671707343,740.108916866
e-value,X_uniform_4_7.pkl,Matern5/2,0.79835541615,0.634034123324,0.645014996617,600.90676918,389.554035513
e-value,X_small_5_3.pkl,Matern5/2,-0.0157795553438,-0.0335878752219,0.00251574443313,670.146469495,1100.20729667
e-value,X_scrambled_1_3.pkl,Matern5/2,0.177053078436,0.0232758166723,0.133115694571,666.317032417,1039.6784822
e-value,X_small_3_5.pkl,Matern5/2,0.329185722557,0.107684562391,0.249277459266,660.931233828,949.829210385
e-value,X_original_2_7.pkl,Matern5/2,0.694941404218,0.480770087934,0.533009679246,624.302957452,552.696632379
e-value,X_scrambled_3_1.pkl,Matern5/2,0.73210701356,0.533948569101,0.562761091673,614.34054905,496.090557164
e-value,X_uniform_2_1.pkl,Matern5/2,0.767947815101,0.586626771167,0.596231430653,604.089477769,440.017006306
e-value,X_small_1_7.pkl,Matern5/2,-0.163365971788,-0.040232144693,-0.133771975727,670.866671434,1107.27981941
e-value,X_small_1_6.pkl,Matern5/2,-0.0106545218969,-0.0156096434285,-0.00164070289117,668.8464563,1081.07028638
e-value,X_ChR_data_4_7.pkl,Matern5/2,-0.39868434183,-0.0176058880923,-0.276841267837,668.990393184,1083.19519806
e-value,X_original_2_6.pkl,Matern5/2,0.73493282425,0.534760094047,0.585074650993,611.91815871,495.226725759
e-value,X_small_3_4.pkl,Matern5/2,0.397029291824,0.157286360372,0.287123005956,657.144043598,897.030351793
e-value,X_scrambled_1_2.pkl,Matern5/2,-0.0949796920893,-0.0448323939109,-0.0272356679935,671.0800507,1112.17657553
e-value,X_small_5_2.pkl,Matern5/2,-0.00990083544254,-0.0324660467048,-0.000984421734705,670.087405086,1099.01316122
e-value,X_uniform_4_6.pkl,Matern5/2,0.765791584667,0.583533497689,0.617451188045,606.257834241,443.309655274
e-value,X_peak_2_5.pkl,Matern5/2,-0.182518621958,-0.0485853860524,-0.125459081078,671.185866434,1116.17146502
e-value,X_scrambled_5_6.pkl,Matern5/2,0.537264458423,0.283963144598,0.38972162675,645.728571861,762.188674887
e-value,X_original_4_2.pkl,Matern5/2,0.778844058346,0.596907648989,0.604763085687,605.264668877,429.073479328
e-value,X_scrambled_5_4.pkl,Matern5/2,0.603271221105,0.359129584775,0.436098828474,639.162257359,682.177417084
e-value,X_uniform_4_4.pkl,Matern5/2,0.823747260982,0.669721853164,0.670828722105,591.511168914,351.566069794
e-value,X_small_3_6.pkl,Matern5/2,0.490809996171,0.235143964636,0.387868537193,651.482112934,814.154472184
e-value,X_original_2_4.pkl,Matern5/2,0.733434877362,0.536001702319,0.574574152489,612.412040109,493.905090208
e-value,X_scrambled_3_2.pkl,Matern5/2,-0.424440678759,-0.019551924052,-0.288216807883,669.125473057,1085.26666485
e-value,X_small_1_4.pkl,Matern5/2,-0.157741348323,-0.0350187815078,-0.116927426044,670.307396094,1101.73043135
e-value,X_uniform_2_2.pkl,Matern5/2,0.803094519301,0.639267246313,0.636483341583,598.949065697,383.983614037
e-value,X_uniform_2_3.pkl,Matern5/2,0.768561330338,0.588160828639,0.629701769633,612.285483727,438.384071878
e-value,X_small_1_5.pkl,Matern5/2,-0.398871442956,-0.0176239160692,-0.279903913234,668.992395903,1083.21438802
e-value,X_scrambled_3_3.pkl,Matern5/2,0.781181311054,0.598887483931,0.603450523374,603.689873461,426.966035054
e-value,X_original_2_5.pkl,Matern5/2,0.738518748963,0.540726157489,0.578511839428,615.203054948,488.876122497
e-value,X_small_3_7.pkl,Matern5/2,0.406474843622,0.163319986205,0.3135930126,657.027223542,890.607831438
e-value,X_scrambled_1_1.pkl,Matern5/2,-0.399121050897,-0.0176464537991,-0.276184986681,668.9935597,1083.23837841
e-value,X_small_5_1.pkl,Matern5/2,0.00321954052977,-0.0290148505395,0.0197978148868,669.873812625,1095.33951982
e-value,X_uniform_4_5.pkl,Matern5/2,0.786993513068,0.614075672136,0.623138958068,604.163412454,410.798899306
e-value,X_scrambled_5_5.pkl,Matern5/2,0.565972227267,0.316093751319,0.407003697204,643.44231694,727.987104989
e-value,X_original_4_3.pkl,Matern5/2,0.735207176999,0.534074689411,0.579168120585,618.277929843,495.956307828
e-value,X_original_4_7.pkl,Matern5/2,0.71965301433,0.513800940509,0.572167788249,617.963598449,517.536791702
e-value,X_scrambled_5_1.pkl,Matern5/2,0.591924671841,0.350195785834,0.428879735753,639.875637526,691.687039843
e-value,X_uniform_4_1.pkl,Matern5/2,0.815863648693,0.660005938323,0.656609297048,592.172111016,361.908219367
e-value,X_small_5_5.pkl,Matern5/2,0.0534850447653,-0.0176075042013,0.0442402284094,668.978562405,1083.19691833
e-value,X_scrambled_1_5.pkl,Matern5/2,-0.305886895868,-0.0299390755167,-0.223244973392,669.802694373,1096.32331529
e-value,X_small_3_3.pkl,Matern5/2,0.474470066817,0.223734538112,0.367845588201,651.052722508,826.29928794
e-value,X_original_2_1.pkl,Matern5/2,0.717929057449,0.506444785583,0.586824734077,618.04500072,525.367084141
e-value,X_scrambled_3_7.pkl,Matern5/2,0.744147283335,0.547899825996,0.582012005596,613.109594738,481.240078553
e-value,X_small_1_1.pkl,Matern5/2,0.230788256003,0.0521504261235,0.117802467586,664.2148129,1008.94277334
e-value,X_uniform_2_7.pkl,Matern5/2,0.734400982163,0.531802422511,0.573261590176,615.068803602,498.375032626
e-value,X_uniform_2_6.pkl,Matern5/2,0.757056718452,0.565474401512,0.577199277115,609.386804067,462.53274202
e-value,X_scrambled_3_6.pkl,Matern5/2,0.79596458902,0.625659799436,0.618763750358,599.157569688,398.468122517
e-value,X_small_3_2.pkl,Matern5/2,0.527996005329,0.269212209917,0.388190304052,647.93804088,777.890374141
e-value,X_scrambled_1_4.pkl,Matern5/2,-0.39879442612,-0.0176194660612,-0.277935069765,668.991753929,1083.20965119
e-value,X_small_5_4.pkl,Matern5/2,0.127732021618,0.0147920001729,0.0874857540533,666.720287617,1048.70911911
e-value,X_original_4_6.pkl,Matern5/2,0.737657716897,0.526864808457,0.581355724439,616.827410143,503.630898276
e-value,X_original_4_4.pkl,Matern5/2,0.771622394189,0.587968243006,0.609138293397,609.803473944,438.589070528
e-value,X_scrambled_5_2.pkl,Matern5/2,0.423182814248,0.179002807354,0.325843594187,655.041340017,873.914181412
e-value,X_uniform_4_2.pkl,Matern5/2,0.751693865402,0.563529926263,0.590106139859,612.583327335,464.602547508
e-value,X_small_5_6.pkl,Matern5/2,0.0196386442443,-0.0265034926505,0.01673516949,669.694631684,1092.66629354
e-value,X_scrambled_1_6.pkl,Matern5/2,0.181822055629,0.0329351586793,0.0684221314462,665.414319214,1029.39655183
e-value,X_original_2_2.pkl,Matern5/2,0.750308375634,0.549844262907,0.574792912875,611.020673294,479.170313874
e-value,X_scrambled_3_4.pkl,Matern5/2,0.761030928066,0.576143628907,0.60848201224,607.305664136,451.17583458
e-value,X_uniform_2_4.pkl,Matern5/2,0.761774315821,0.57778624392,0.598856555279,610.539184372,449.427345587
e-value,X_small_1_2.pkl,Matern5/2,-0.466705769075,-0.032581474689,-0.318186980695,669.93020078,1099.13602906
e-value,X_small_1_3.pkl,Matern5/2,-0.12773034548,-0.0344117632406,-0.0523931123248,670.108488924,1101.084288
e-value,X_uniform_2_5.pkl,Matern5/2,0.774181294983,0.590673007742,0.61526358419,609.611595744,435.70997145
e-value,X_scrambled_3_5.pkl,Matern5/2,0.762614356056,0.580037684234,0.595137628725,609.109495746,447.030789744
e-value,X_original_2_3.pkl,Matern5/2,0.651198408029,0.41951320635,0.474381895935,630.222448983,617.901797518
e-value,X_small_3_1.pkl,Matern5/2,0.576930096634,0.332280402587,0.406566176433,639.713430564,710.757150709
e-value,X_scrambled_1_7.pkl,Matern5/2,-0.434962120034,-0.0289641579103,-0.300686149856,669.723219791,1095.28555983
e-value,X_small_5_7.pkl,Matern5/2,-0.00720290217709,-0.0334893096005,0.00579715021548,670.173374914,1100.10237804
e-value,X_ChR_data_2_4.pkl,Matern5/2,0.35870383255,0.128268795119,0.250371261193,657.412164496,927.918230596
e-value,X_uniform_4_3.pkl,Matern5/2,0.785430374453,0.614600754089,0.625326561923,602.573627894,410.239973442
e-value,X_scrambled_5_3.pkl,Matern5/2,0.525950563779,0.275724027768,0.373314597839,646.768958527,770.958840126
e-value,X_original_4_5.pkl,Matern5/2,0.773677464599,0.585259274628,0.621170114599,607.879482587,441.472644191
